danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,track.album.name
0.503,0.687,9,-9.427,0,0.0314,0.00869,0.0131,0.131,0.619,143.902,audio_features,5KupfEBaVJwL7D2ZN0n1Q1,spotify:track:5KupfEBaVJwL7D2ZN0n1Q1,https://api.spotify.com/v1/tracks/5KupfEBaVJwL7D2ZN0n1Q1,https://api.spotify.com/v1/audio-analysis/5KupfEBaVJwL7D2ZN0n1Q1,202760,4,Trying Your Luck,Is This It
0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,audio_features,4fPBB44eDH71YohayI4eKV,spotify:track:4fPBB44eDH71YohayI4eKV,https://api.spotify.com/v1/tracks/4fPBB44eDH71YohayI4eKV,https://api.spotify.com/v1/audio-analysis/4fPBB44eDH71YohayI4eKV,189227,4,You Only Live Once,First Impressions Of Earth
0.397,0.894,6,-3.099,0,0.0464,9.07E-06,0.642,0.0847,0.277,134.993,audio_features,1TbK5nWKIxZYIRVurMvkuR,spotify:track:1TbK5nWKIxZYIRVurMvkuR,https://api.spotify.com/v1/tracks/1TbK5nWKIxZYIRVurMvkuR,https://api.spotify.com/v1/audio-analysis/1TbK5nWKIxZYIRVurMvkuR,265773,4,Ize of the World,First Impressions Of Earth
0.626,0.831,2,-7.743,1,0.0369,0.00571,0.0188,0.355,0.255,113.999,audio_features,1OXGJ7jRok4c3KBnIYkuwH,spotify:track:1OXGJ7jRok4c3KBnIYkuwH,https://api.spotify.com/v1/tracks/1OXGJ7jRok4c3KBnIYkuwH,https://api.spotify.com/v1/audio-analysis/1OXGJ7jRok4c3KBnIYkuwH,172160,4,Happy Ending,Comedown Machine
0.621,0.847,8,-4.467,1,0.0298,0.196,0.00332,0.136,0.64,101.032,audio_features,5xXkyBtG1sNIhkpCIxF0Il,spotify:track:5xXkyBtG1sNIhkpCIxF0Il,https://api.spotify.com/v1/tracks/5xXkyBtG1sNIhkpCIxF0Il,https://api.spotify.com/v1/audio-analysis/5xXkyBtG1sNIhkpCIxF0Il,211000,4,Lazy Boy,Virtue
0.376,0.944,4,-3.688,0,0.11,0.000354,0.122,0.11,0.529,140.432,audio_features,0tfvDUmADEEEqrPcRJNT29,spotify:track:0tfvDUmADEEEqrPcRJNT29,https://api.spotify.com/v1/tracks/0tfvDUmADEEEqrPcRJNT29,https://api.spotify.com/v1/audio-analysis/0tfvDUmADEEEqrPcRJNT29,268133,4,Pyramid of Bones,Virtue
0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,audio_features,2cGxRwrMyEAp8dEbuZaVv6,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/audio-analysis/2cGxRwrMyEAp8dEbuZaVv6,337560,4,Instant Crush (feat. Julian Casablancas),Random Access Memories
0.552,0.328,0,-10.108,1,0.355,0.638,0.596,0.414,0.175,175.787,audio_features,46pKXSkEQfqB0wEy5uxtcG,spotify:track:46pKXSkEQfqB0wEy5uxtcG,https://api.spotify.com/v1/tracks/46pKXSkEQfqB0wEy5uxtcG,https://api.spotify.com/v1/audio-analysis/46pKXSkEQfqB0wEy5uxtcG,243369,4,95 Radios,Brick Body Kids Still Daydream
0.6,0.746,4,-4.696,0,0.0355,0.0226,0.0119,0.109,0.614,118.551,audio_features,31u6rUeIEXGrYVoh10U7eu,spotify:track:31u6rUeIEXGrYVoh10U7eu,https://api.spotify.com/v1/tracks/31u6rUeIEXGrYVoh10U7eu,https://api.spotify.com/v1/audio-analysis/31u6rUeIEXGrYVoh10U7eu,239442,4,Leave It In My Dreams,Virtue
0.229,0.761,0,-4.673,1,0.0469,0.22,0.808,0.113,0.132,121.623,audio_features,2avCzL6HtaJ5Nspq2fVFQe,spotify:track:2avCzL6HtaJ5Nspq2fVFQe,https://api.spotify.com/v1/tracks/2avCzL6HtaJ5Nspq2fVFQe,https://api.spotify.com/v1/audio-analysis/2avCzL6HtaJ5Nspq2fVFQe,656836,4,Human Sadness,Tyranny
0.515,0.696,6,-5.857,0,0.0313,0.0126,0.000345,0.0916,0.513,134.893,audio_features,4ileLT7ldd2uX8bMemWqbm,spotify:track:4ileLT7ldd2uX8bMemWqbm,https://api.spotify.com/v1/tracks/4ileLT7ldd2uX8bMemWqbm,https://api.spotify.com/v1/audio-analysis/4ileLT7ldd2uX8bMemWqbm,255240,4,Life Is Simple in the Moonlight,Angles
0.542,0.963,7,-4.635,1,0.0381,0.000292,0.000688,0.0567,0.929,135.028,audio_features,6b7B92At6GcqZwndlhpSH7,spotify:track:6b7B92At6GcqZwndlhpSH7,https://api.spotify.com/v1/tracks/6b7B92At6GcqZwndlhpSH7,https://api.spotify.com/v1/audio-analysis/6b7B92At6GcqZwndlhpSH7,204333,4,Fast Times,Fast Times
0.56,0.828,6,-4.314,1,0.0317,0.0926,6.04E-05,0.101,0.567,92.478,audio_features,1UrvESEfYBjNB6otQWdyRj,spotify:track:1UrvESEfYBjNB6otQWdyRj,https://api.spotify.com/v1/tracks/1UrvESEfYBjNB6otQWdyRj,https://api.spotify.com/v1/audio-analysis/1UrvESEfYBjNB6otQWdyRj,249098,4,More to Life,More to Life
0.47,0.877,5,-5.499,0,0.0504,0.00224,1.06E-05,0.264,0.788,162.011,audio_features,2iLkTMUJ2MCsry5yYiafCg,spotify:track:2iLkTMUJ2MCsry5yYiafCg,https://api.spotify.com/v1/tracks/2iLkTMUJ2MCsry5yYiafCg,https://api.spotify.com/v1/audio-analysis/2iLkTMUJ2MCsry5yYiafCg,196853,4,Muted Beatings,Francis Trouble
