track.name,track.id,track.album.name,simplified_genre
Chain Gang,7v1858htfU0srTDwhxeka8,Swing Low,other
Lady Brown (feat. Cise Starr from CYNE),0JL9TZip7mL7iwC5EOkALS,Metaphorical Music,hip hop
Rocky's Late Night,3AgrcbfCREzW0kGFUNJnqW,Francis Trouble,rock
Learn Your Lesson,5qIAgpKDLMIHOTipH47PFu,Today Is History,rock
Always Jealous,59FZc1AhTCWWnxrg373t7s,Today Is History,rock
Feather (feat. Cise Starr & Akin from CYNE),2ej1A2Ze6P2EOW7KfIosZR,Modal Soul,hip hop
In Transit,1Jte640nBiOWyuD7N0odNZ,Yours to Keep,rock
Under Pressure - Remastered 2011,11IzgLRXV7Cgek3tEgGgjw,Hot Space (Deluxe Remastered Version),rock
Cha La Head Chala,36la4AQp7vTlCRNyC5NLry,3XL Manga i Anime,rock
Lotus Eater,6ReKt5x6FVUXTMdWNC6GAQ,Sacred Hearts Club,rock
I Don't Know You,4cJOLN346rtOty3UPACsao,I Don't Know You,rock
Microfiche,4zVeDhzxooxOe1k49j9m5e,What Happens When I Try to Relax,hip hop
The Next Time Around,6sT8KTifge2F0lcdtyDkDa,Little Joy (US Edition),rock
Razors Edge,4H85bUU8UF8YPFhNYJXt3d,Momentary Masters,rock
THAT'S THAT,3ZWc3Bm8eUMRRJhSWKHHeV,BORN LIKE THIS,hip hop
Chances,718purgMpFb2Axhuz0Hbq1,Comedown Machine,rock
Qualifiers,08u83xFnbotiLYfptooHGt,Dark Comedy,hip hop
Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],7fjLBPTsQrbkV2WRedi2bw,A Special Episode - EP,hip hop
Worlds to Run,0o1OgAV4hlV6SKemtsQ4R4,Thumbs,hip hop
Calling You All Night,0WNo7oGkfjgbMRLrTa8Nqy,Lounge Lovers on Standby,rock
My Kind of Crisis,2eEUSZJJ9UCUTaEOkm7pUN,Today Is History,rock
Rewind,3Hjw18zl0HE71aGgSo8Jcm,Rewind,rock
Thieves In The Night,7prM6PuZ5psmHNKhpznKbP,Mos Def & Talib Kweli Are Black Star,hip hop
The Otherground Pizza Party,1eFktbY25CGTb0BDYKRsUo,things that happen at day // things that happen at night,hip hop
Night Ride,2ZQ3CJY6iddn38oOoPGKfb,City Club,rock
"Call It Fate, Call It Karma",3Y4rUyw7XBCK6hGHCOt6rp,Comedown Machine,rock
The Eternal Tao,1NGodWzGlxxkOrgqHO6g3K,The Eternal Tao,rock
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,IGOR,hip hop
3005,2ZltjIqztEpZtafc8w0I9t,Because the Internet,hip hop
Plastic Love,6w9Ob2zjMx1o614BI9wZsI,Broken Love,other
Much,5tbk2TtmG9905obtPrbK4O,Thumbs,hip hop
Dare I Care,0eLiaA1XEtztloEOdTgAeX,Tyranny,rock
Did My Best,0hmxVkpxbcdHAXUoZ7DeCQ,Did My Best,rock
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),hip hop
Vaudeville Villain,6rkV9hz91Rr5iHnMRPZdEQ,Vaudeville Villain,hip hop
Can I Watch? (feat. Apani B as Nikki),4i4P1ACAeWcyJTxQSd0prx,Vaudeville Villain,hip hop
Lactose and Lecithin,63Iv8NhccFc2qXgIsrDo4Q,Vaudeville Villain,hip hop
Hymnal,0uP17B2t9Px8qBTgFl6Z1g,Brick Body Kids Still Daydream,hip hop
All Caps,1Y2ExJJ9Dmb9po8K0ybSj3,Madvillainy,hip hop
Vomitspit,07nA7gafu75RjIkAUxtjjr,MM...FOOD,hip hop
"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",1k4OsQujxXPLij0ZsTFlMx,Live From Electric Lady Studios/WRXP New York,rock
No Tony (feat. Phra),2cMmlJaE8T2JVdptokAm2c,All Wet,other
Deep Fried Frenz,12Lemsk6c6ohm9afZxYUBz,MM...FOOD,hip hop
"Open Mic Nite, Pt. 2 (feat. Lord Sear & Hydro)",5XRO5KnH7OvMPElYl8QYkD,Vaudeville Villain,hip hop
Doomsday,4tSLFGKiSO4O1d5aXJUpGJ,Operation Doomsday: Original Version Remastered,hip hop
Corner Story,6O4zEx1kzm32mXlUIOthSw,Future Development,hip hop
Slippery Slope,55fAj4qSvcmbwW0io4Wvhd,Free Sweatpants,hip hop
Otha Fish,1KcZRMyC2tSs3CMIsng9wx,Bizarre Ride II The Pharcyde,hip hop
Rapp Snitch Knishes feat. Mr. Fantastik,25kGNSv0yGXZKaC79xzrvg,MM...FOOD,hip hop
Fancy Clown,6WnYONkaYOchkMXUz0Eu0W,Madvillainy,hip hop
Gravy Train,3qOkkP9JLltoUvaLjEXTmW,Sensational,hip hop
GAZZILLION EAR,7hZdzXAe5g7P23RAlnFFaB,BORN LIKE THIS,hip hop
Tainted Love,58E1XVmZTODC67YNjneuXM,Non-Stop Erotic Cabaret,rock
Everything She Wants,5hXEcqQhEjfZdbIZLO8mf2,Make It Big,rock
Snake Eater,2e3g8go386Zn6EyIz60Ci9,METAL GEAR 20th ANNIVERSARY METAL GEAR MUSIC COLLECTION,other
The Trio - 2004 Remaster,6tGtkJtXZytZhugipYJTCj,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",other
Sins of The Father,1ZcN6PlhKWUacWjDC7uRsB,METAL GEAR SOLID Ⅴ ORIGINAL SOUNDTRACK SELECTION,other
People Ii: The Reckoning,35ycG8vBnHjAfw1Q5WDl76,People Who Can Eat People Are the Luckiest People in the World,rock
A Song Dedicated to the Memory of Stormy the Rabbit,3eG1hZzHlXvLMaSzlltbLA,People Who Can Eat People Are the Luckiest People in the World,rock
We Didn't Come Here to Rock,3vkyJalLj2crZjBg3YN5jm,Can't Maintain,rock
Instant Karma! (We All Shine On) - Remastered 2010,2E9wKgL8NN7Tvydqcjoh7v,Gimme Some Truth,rock
White Room,3Xls4cNOwy01dtrNXb1inG,Wheels Of Fire,rock
Fool in the Rain - 1990 Remaster,62p6fF2r4NY6pwZbxxvmr8,In Through the out Door (1994 Remaster),rock
Telephone Line,3SPcBPzvbmWLl8NU5efx4W,A New World Record,rock
Concerto for Philodendron & Pothos,3uq0KsaRzTtqwDYLdV3zON,Mother Earth's Plantasia,other
Rewind,6LR0umY2XFQv7FybMUf7cW,What Happened,rock
Shiki No Uta,6YN4XKUaE8HtqL5S1sZXC9,Shiki No Uta,hip hop
Life on Mars? - 2015 Remaster,3ZE3wv8V3w2T2f7nOCjV0N,Hunky Dory (2015 Remaster),rock
All Through the Night,2CIDqYfIYfl9vx02wIyCG9,She's So Unusual,rock
Modern Girls & Old Fashion Men,4yVixayMpxm2MUGOePA192,Modern Girls & Old Fashion Men,rock
Objects of Desire,750BRkrH6lVuyudAHfi7Sk,NSFW,rock
