"track.name","track.id","track.album.name"
"Microfiche","4zVeDhzxooxOe1k49j9m5e","What Happens When I Try to Relax"
"The Next Time Around","6sT8KTifge2F0lcdtyDkDa","Little Joy (US Edition)"
"Razors Edge","4H85bUU8UF8YPFhNYJXt3d","Momentary Masters"
"THAT'S THAT","3ZWc3Bm8eUMRRJhSWKHHeV","BORN LIKE THIS"
"Chances","718purgMpFb2Axhuz0Hbq1","Comedown Machine"
"Qualifiers","08u83xFnbotiLYfptooHGt","Dark Comedy"
"Ziggy Starfish (Anxiety Raps) [feat. Gold Panda]","7fjLBPTsQrbkV2WRedi2bw","A Special Episode - EP"
"Worlds to Run","0o1OgAV4hlV6SKemtsQ4R4","Thumbs"
"Calling You All Night","0WNo7oGkfjgbMRLrTa8Nqy","Lounge Lovers on Standby"
"My Kind of Crisis","2eEUSZJJ9UCUTaEOkm7pUN","Today Is History"
"Rewind","3Hjw18zl0HE71aGgSo8Jcm","Rewind"
"Thieves In The Night","7prM6PuZ5psmHNKhpznKbP","Mos Def & Talib Kweli Are Black Star"
"The Otherground Pizza Party","1eFktbY25CGTb0BDYKRsUo","things that happen at day // things that happen at night"
"Night Ride","2ZQ3CJY6iddn38oOoPGKfb","City Club"
"Call It Fate, Call It Karma","3Y4rUyw7XBCK6hGHCOt6rp","Comedown Machine"
"The Eternal Tao","1NGodWzGlxxkOrgqHO6g3K","The Eternal Tao"
"EARFQUAKE","5hVghJ4KaYES3BFUATCYn0","IGOR"
"3005","2ZltjIqztEpZtafc8w0I9t","Because the Internet"
"Plastic Love","6w9Ob2zjMx1o614BI9wZsI","Broken Love"
"Much","5tbk2TtmG9905obtPrbK4O","Thumbs"
"Dare I Care","0eLiaA1XEtztloEOdTgAeX","Tyranny"
"Did My Best","0hmxVkpxbcdHAXUoZ7DeCQ","Did My Best"
"Sunflower - Spider-Man: Into the Spider-Verse","3KkXRkHbMCARz0aVfEt68P","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)"
"Vaudeville Villain","6rkV9hz91Rr5iHnMRPZdEQ","Vaudeville Villain"
"Can I Watch? (feat. Apani B as Nikki)","4i4P1ACAeWcyJTxQSd0prx","Vaudeville Villain"
"Lactose and Lecithin","63Iv8NhccFc2qXgIsrDo4Q","Vaudeville Villain"
"Hymnal","0uP17B2t9Px8qBTgFl6Z1g","Brick Body Kids Still Daydream"
"All Caps","1Y2ExJJ9Dmb9po8K0ybSj3","Madvillainy"
"Vomitspit","07nA7gafu75RjIkAUxtjjr","MM...FOOD"
"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York","1k4OsQujxXPLij0ZsTFlMx","Live From Electric Lady Studios/WRXP New York"
"No Tony (feat. Phra)","2cMmlJaE8T2JVdptokAm2c","All Wet"
"Deep Fried Frenz","12Lemsk6c6ohm9afZxYUBz","MM...FOOD"
"Open Mic Nite, Pt. 2 (feat. Lord Sear & Hydro)","5XRO5KnH7OvMPElYl8QYkD","Vaudeville Villain"
"Doomsday","4tSLFGKiSO4O1d5aXJUpGJ","Operation Doomsday: Original Version Remastered"
"Corner Story","6O4zEx1kzm32mXlUIOthSw","Future Development"
"Slippery Slope","55fAj4qSvcmbwW0io4Wvhd","Free Sweatpants"
"Otha Fish","1KcZRMyC2tSs3CMIsng9wx","Bizarre Ride II The Pharcyde"
"Rapp Snitch Knishes feat. Mr. Fantastik","25kGNSv0yGXZKaC79xzrvg","MM...FOOD"
"Fancy Clown","6WnYONkaYOchkMXUz0Eu0W","Madvillainy"
"Gravy Train","3qOkkP9JLltoUvaLjEXTmW","Sensational"
"GAZZILLION EAR","7hZdzXAe5g7P23RAlnFFaB","BORN LIKE THIS"
"Tainted Love","58E1XVmZTODC67YNjneuXM","Non-Stop Erotic Cabaret"
"Everything She Wants","5hXEcqQhEjfZdbIZLO8mf2","Make It Big"
"Snake Eater","2e3g8go386Zn6EyIz60Ci9","METAL GEAR 20th ANNIVERSARY METAL GEAR MUSIC COLLECTION"
"The Trio - 2004 Remaster","6tGtkJtXZytZhugipYJTCj","The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]"
"Sins of The Father","1ZcN6PlhKWUacWjDC7uRsB","METAL GEAR SOLID Ⅴ ORIGINAL SOUNDTRACK SELECTION"
"People Ii: The Reckoning","35ycG8vBnHjAfw1Q5WDl76","People Who Can Eat People Are the Luckiest People in the World"
"A Song Dedicated to the Memory of Stormy the Rabbit","3eG1hZzHlXvLMaSzlltbLA","People Who Can Eat People Are the Luckiest People in the World"
"We Didn't Come Here to Rock","3vkyJalLj2crZjBg3YN5jm","Can't Maintain"
"Instant Karma! (We All Shine On) - Remastered 2010","2E9wKgL8NN7Tvydqcjoh7v","Gimme Some Truth"
"White Room","3Xls4cNOwy01dtrNXb1inG","Wheels Of Fire"
"Fool in the Rain - 1990 Remaster","62p6fF2r4NY6pwZbxxvmr8","In Through the out Door (1994 Remaster)"
"Telephone Line","3SPcBPzvbmWLl8NU5efx4W","A New World Record"
"Concerto for Philodendron & Pothos","3uq0KsaRzTtqwDYLdV3zON","Mother Earth's Plantasia"
"Rewind","6LR0umY2XFQv7FybMUf7cW","What Happened"
"Shiki No Uta","6YN4XKUaE8HtqL5S1sZXC9","Shiki No Uta"
"Life on Mars? - 2015 Remaster","3ZE3wv8V3w2T2f7nOCjV0N","Hunky Dory (2015 Remaster)"
"All Through the Night","2CIDqYfIYfl9vx02wIyCG9","She's So Unusual"
"Modern Girls & Old Fashion Men","4yVixayMpxm2MUGOePA192","Modern Girls & Old Fashion Men"
"Objects of Desire","750BRkrH6lVuyudAHfi7Sk","NSFW"
"Concerto No. 4 in F Minor, Op. 8, RV 297 ""L'inverno"": I. Allegro non molto","4Agw3BjEfyBYplvJXB5Y3i","Antonio Vivaldi: Le Quattro Stagione"
"Never Dead (feat. M. Sayyid as Curis Strifer)","29XBHZKdcXAg8deuEVyoeI","Vaudeville Villain"
"i miss you","021sNzTndU8LVmDJDqvwXp","i miss you"
"I Can't Handle Change","0I1eFRytp4XRhLCjT6tZm7","I Can't Handle Change"
"shining on my ex","3mBRfojfwsGouVPJHhiVd9","shining on my ex"
"Rocket Jump Waltz","1fTJkW8b8hhh1ebYI6Md6E","Fight Songs: The Music of Team Fortress 2"
"Chamber Of Reflection","1MJ5f5EYBC92ADD6xcz7nb","Salad Days"
"Shiki No Uta","7Eyj9NYnHec30O9ANkloFo","Shiki No Uta"
"Attitude City","50m9gWSRz1NEO07sBNk3bB","Attitude City"
"At The Door","7dz48pntblPzJ9mTPiUH81","At The Door"
"Luv (Sic)","6TxDFfXqraQlaCS2DNfy5w","FIRST COLLECTION"
"Johan Von Bronx","3dWaDHwsvudH9vywNjVUVf","Tyranny"
"Where No Eagles Fly","25FYpwvSt61i16hs8qvoqe","Tyranny"
"Father Electricity","1VeHgjA3KTfiMYM4pL1nXX","Tyranny"
"Dare I Care","3QFwqMCEkE5ZItQhMksIbB","Tyranny"
"Poison","6m59VvDUi0UQsB2eZ9wVbH","Poison"
