"track.name","track.id","track.album.name"
"Loose Change (feat. Earl Sweatshirt)","2Z5MbKovyels3EXitye0eo","This Thing Of Ours"
"Be (Intro)","11aFVmFy8903RwDx4ohQiq","Be"
"Old 8 Legs","0ll0XWbnBtEe7Qq9DvkjQI","Are You In Or Out?"
"Stranger's Road","06r78GFh0Y84Kwd5zcoTgU","Are You In Or Out?"
"Wet Dreams","5drJr9Wi1JnSWnB7WwSgX0","Are You In Or Out?"
"Hoopity Hip","3GvvyT9ZZO3l2npRJaLney","Are You In Or Out?"
"Red Tide","7gfNCpShQzvIxv0IqDWeaG","Are You In Or Out?"
"Something Someone Jr","3PWgQXajCckJLI5rHmBF7i","Are You In Or Out?"
"Graveyard's Full","1jOORGv77XNdt9B6lqk5ze","Hot Tropics"
"One Million Lovers","5Nt5kpCSEYKci7hyY6yu5I","Hung At Heart"
"Through The Wire","4mmkhcEm1Ljy1U9nwtsxUo","The College Dropout"
"2 Of Amerikaz Most Wanted","6S5SJlNXgrUBTLa58NMwGk","Greatest Hits"
"Never Meant","4ZDyo32Vg4avIKHaDfZSOg","American Football (Deluxe Edition)"
"I Follow You","6rv4gfOtrlYFrcu03gZkUW","Melody's Echo Chamber"
"Where Damage Isn't Already Done","4z5Zh0WLC4TaHghMW3Nx5H","Lesser Matters"
"Happy Birthday","7ni2QpeyhKLJIb18IJTBHc","Faces"
"Street Talkin'","4TGHOWSNAwUXn5onDQr0P1","The Art Of Storytelling"
"With or Without It","25UUVStfTymLV7fKjp7xPC","With or Without It"
"Sittin' In My Car","1nsbj6cQQmfp9x7Mlmtphl","Behind Bars"
"Dennehy","4T3Vl4y9ggN9dPbYfKyYqh","Dennehy"
"Words Of Wisdom","0FNt0zNJT1JNnSIe8LqYxh","2Pacalypse Now"
"Shook Ones, Pt. II","33ZXjLCpiINn8eQIDYEPTD","The Infamous"
"Notion","4cHKd6qPMR1TMx55KHlida","Futureproof"
"Casual Acquaintances","3biCP8Epe7TgjzR62RfJ1X","Casual Acquaintances"
"Tic","0UqwIL59AsdSTdmewiWXvj","Tic"
"Keep Me in Mind","04vhOCGg0vXAxerKc0eQ5d","Little Joy"
"Salute Your Solution","4I3573QbRpER4HPzyFSFJa","Consolers of the Lonely"
"What You Know","3UjtIALeg72qmJiKPWBvM3","Tourist History"
"イエロー・マジック (東風)","12x2jPGYAjdiyemtFuqeU0","Yellow Magic Orchestra USA"
"Kolors","4IOYk6epkzXT38U4ShauZ6","Soulection White Label - Monte Booker"
"Jazz (We've Got)","7AgMX97ljLm9BzszyyXEYZ","The Low End Theory"
"Line by Line","5xgvMrYYHTIEtx7w1LEAn0","Line by Line"
"Victory Laps","0sQ9MCD0ichtBCSi8Khn3h","Victory Laps"
"Kon Queso","5SFMhTRSO8jL2PtamoO1Q7","MM...FOOD"
